*UNIQUE-ID,ACCESSION-1,NAME,SYNONYMS,PRODUCT-NAME,SWISS-PROT-ID,START-BASE,END-BASE,DIRECTION,GENE-TYPE,TU-COLOR,TU,Promoters,Sigma,Regulator_activate,Regulator_inhibit
EG10538,b3457,livH,"hrbD,hrbC,hrbB",branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,P0AEX7,3595477,3596403,-,P,9.0,"['TU00457', 'TU00184']","[['PM00612'], ['PM00257', 'PM00257']]","[None, 'RPOD-MONOMER', None]","[None, None]","[None, 'Lrp']"
EG10705,b1278,pgpB,,phosphatidylglycerophosphatase B,P0A924,1339330,1340094,+,P,5.0,['TU0-13199'],[['PM0-46326']],['RPOD-MONOMER'],[None],[None]
EG10839,b3842,rfaH,"hlyT,sfrB",transcription antiterminator RfaH,P0AFW0,4024333,4024821,-,P,6.0,['TU0-8499'],[[]],[],['Nac'],[None]
G7284,b2454,eutJ,yffW,putative ethanolamine utilization chaperonin EutJ,P77277,2569501,2570337,-,P,10.0,['TU0-13635'],[[]],[],[None],[None]
EG10238,b0184,dnaE,"sdgC,polC",DNA polymerase III subunit &alpha;,P10443,205126,208608,+,P,2.0,['TU0-8373'],[['PM0-8756']],['RPOE-MONOMER'],[None],[None]
EG11698,b0756,galM,,galactose-1-epimerase,P0A9C3,787797,788837,-,P,11.0,"['TU0-45179', 'TU0-4545', 'TU00026', 'TU00025']","[['PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM0-46476'], ['PM0-4785'], ['PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033'], ['PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM0-46476', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00032', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00033', 'PM00032']]","['RPOS-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None]","['CRP-cyclic-AMP DNA-binding transcriptional dual regulator', None, 'GalR-galactose, GalS-galactose', 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['H-NS, HU, GalR, GalS', None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator, HU, GalR, GalS', 'GalR, HU, H-NS, GalS']"
EG12462,b4115,adiC,"yjdD,yjdE",arginine:agmatine antiporter,P60061,4335694,4337031,-,P,4.0,['TU0-14134'],"[['PM0-46012', 'PM0-46012', 'PM0-46012']]","['RPOH-MONOMER', None, None]","['PhoB-Pasp53, GadRcs']",[None]
G7669,b3211,yhcC,,radical SAM family oxidoreductase YhcC,P0ADW6,3353121,3354050,-,P,10.0,['TU0-13891'],[[]],[],['Nac'],['ArgR-arg']
EG10117,b0774,bioA,,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,P12995,807968,809257,-,P,1.0,['TU00013'],"[['PM00015', 'PM00015', 'PM00016']]","['RPOD-MONOMER', None, 'RPOD-MONOMER']",[None],"[""BirA-bio-5'-AMP""]"
G0-10561,b4543,ypaA,,protein YpaA,V9HVX0,2357816,2358001,+,S,8.0,['TU0-13564'],[[]],[],[None],[None]
G7523,b2941,yqgD,,DUF2684 domain-containing protein YqgD,P46879,3086399,3086650,-,P,5.0,['TU0-8654'],[[]],[],[None],[None]
EG11165,b3038,ygiC,,peptide&mdash;spermidine ligase YgiC,P0ADT5,3180421,3181581,+,P,9.0,"['TU0-14704', 'TU0-14702', 'TU0-14701', 'TU0-13838']","[['PM0-10259', 'PM0-10259', 'PM0-10259', 'PM0-10259'], ['PM0-10257', 'PM0-10257'], ['PM0-10256'], ['PM0-10219', 'PM0-10219', 'PM0-10219', 'PM0-10219']]","[None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None]","['MarA, Rob, SoxS', 'PhoP-Pasp51', None, 'Rob, SoxS, MarA']","[None, None, None, None]"
EG10065,b3958,argC,Arg2,N-acetylglutamylphosphate reductase,P11446,4155001,4156005,+,P,3.0,['TU00004'],"[['PM00005', 'PM00005', 'PM00005', 'PM00006', 'PM00006']]","['RPOD-MONOMER', None, None, 'RPOD-MONOMER', None]",[None],['ArgR-arg']
EG12052,b2194,ccmH,yejP,holocytochrome <I>c</I> synthase CcmH component,P0ABM9,2291358,2292410,-,P,8.0,"['TU0-5261', 'TU363', 'TU00305']","[['PM0-5501'], ['PM444', 'PM444', 'PM444', 'PM444', 'PM444', 'PM444', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM444'], ['PM444', 'PM444', 'PM444', 'PM444', 'PM444', 'PM444', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125', 'PM125']]","['RPOD-MONOMER', 'RPOD-MONOMER', None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None]","[None, 'ModE-MoO42-, FlhDC', 'Fnr, ModE-MoO42-, NarP-Pasp59, FlhDC']","[None, 'NarL-Pasp59, NarP-Pasp59', 'NarL-Pasp59']"
G6833,b1566,flxA,,Qin prophage; PF14282 family protein FlxA,P77609,1646405,1646737,+,P,2.0,['TU0-1501'],"[['PM0-1661', 'PM0-1661']]","['EG11355-MONOMER', None]",['Fis'],[None]
G7161,b2248,yfaX,,putative DNA-binding transcriptional regulator YfaX,P77732,2361429,2362211,-,P,9.0,"['TU0-14691', 'TU0-13566']","[[], []]",[],"[None, None]","[None, None]"
G7177,b2270,yfbK,,IPR002035/DUF3520 domain-containing protein YfbK,P76481,2383995,2385722,-,P,10.0,['TU0-8731'],[[]],[],[None],['Nac']
EG11498,b3262,yhdJ,,DNA adenine methyltransferase,P28638,3411653,3412537,+,P,5.0,['TU0-13905'],[[]],[],[None],[None]
EG10568,b1818,manY,"pel,ptsP,ptsX",mannose-specific PTS enzyme IIC component,P69801,1903082,1903882,+,P,6.0,['TU00196'],"[['PM00276', 'PM00276', 'PM00276', 'PM00276', 'PM00276', 'PM00276', 'PM00276', 'PM00276']]","['RPOD-MONOMER', None, None, None, None, None, None, None]","['Cra-fructose-1-phosphate, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['SgrS, Cra, Mlc, NagC']"
G6632,b4573,insZ,"ychG,b1240,b1239",putative transposase InsZ,P30192,1294426,1295322,-,S,3.0,['TU0-13184'],[[]],[],[None],[None]
EG10963,b0121,speE,,spermidine synthase,P09158,135598,136464,-,P,1.0,"['TU0-44217', 'TU00359']","[['PM0-46439'], ['PM0-7801']]","['RPOD-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
EG10544,b1677,lpp,mlpA,murein lipoprotein,P69776,1757421,1757657,+,P,4.0,"['TU0-8380', 'TU0-6509']","[['PM0-8763'], ['PM00373']]","[None, None]","[None, None]","[None, None]"
EG10218,b2314,dedD,,cell division protein DedD,P09549,2431022,2431684,-,P,10.0,['TU0-13591'],[[]],[],[None],[None]
EG11615,b4113,basR,pmrA,DNA-binding transcriptional dual regulator BasR-phosphorylated,,4333282,4333950,-,P,2.0,['TU00245'],[[]],[],[None],[None]
EG11234,b1692,ydiB,,quinate/shikimate dehydrogenase,P0A6D5,1773789,1774655,+,P,2.0,['TU0-13373'],[[]],[],[None],[None]
EG10505,b3168,infB,ssyG,translation initiation factor IF-2&beta;',P0A705-3,3313342,3316014,-,P,1.0,"['TU0-44226', 'TU0-44225', 'TU0-6223', 'TU341', 'TU00517', 'TU00311']","[['PM0-46446'], ['PM0-46445'], ['PM00440', 'PM00440'], ['PM0-5741', 'PM0-5741', 'PM0-5741', 'PM0-5741', 'PM00672', 'PM00672', 'PM00672', 'PM00672', 'PM00672'], ['PM00440', 'PM00440'], ['PM0-8873']]","['RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, 'RPOD-MONOMER']","[None, None, 'Fis', None, 'Fis', None]","[None, None, None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator, ArgR-arg', None, None]"
EG11616,b4148,gdx,sugE,guanidinium exporter,P69937,4376875,4377192,+,P,9.0,['TU0-1241'],[['PM0-1401']],[None],['guanidinium'],[None]
EG12183,b0433,ampG,,muropeptide:H<sup>+</sup> symporter,P0AE16,452070,453545,-,P,5.0,"['TU0-42605', 'TU0-12926']","[['PM0-46359'], []]",['RPOD-MONOMER'],"[None, None]","[None, None]"
EG11555,b0007,yaaJ,,putative transporter YaaJ,P30143,6529,7959,-,P,4.0,['TU0-12789'],[[]],[],[None],[None]
EG10591,b3828,metR,,DNA-binding transcriptional dual regulator MetR,P0A9F9,4011863,4012816,-,P,9.0,"['TU0-8224', 'TU0-8223']","[['PM0-8604', 'PM0-8604', 'PM0-8604', 'PM0-8604', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8604'], ['PM0-8604', 'PM0-8604', 'PM0-8604', 'PM0-8604', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8603', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8601', 'PM0-8603']]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, 'OxyR']","['MetJ-SAM, MetR-L-homocysteine', 'MetJ-SAM, MetR-L-homocysteine']"
G6778,b1484,ddpD,yddP,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD",P77268,1558031,1559017,-,P,3.0,"['TU0-42463', 'TU0-42462', 'TU0-3623']","[['PM0-46160'], ['PM0-46159'], ['PM0-3823', 'PM0-3823', 'PM0-3823']]","['RPOS-MONOMER', 'RPOS-MONOMER', 'RPON-MONOMER', None, None]","[None, None, 'NtrC-Pasp']","[None, None, None]"
G6396,b0762,acrZ,ybhT,multidrug efflux pump accessory protein AcrZ,P0AAW9,794773,794922,+,P,2.0,['TU0-13041'],"[['PM0-46235', 'PM0-46235', 'PM0-46235', 'PM0-46235']]","['RPOD-MONOMER', None, None, None]","['Rob, SoxS, MarA']",[None]
EG12333,b0157,yadS,,PF03458 family protein YadS,P0AFP0,177001,177624,-,P,2.0,"['TU0-45264', 'TU0-12822']","[['PM0-46566'], ['PM0-9547']]","['RPOS-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
G6448,b0858,ybjO,,putative inner membrane protein,P0AAZ0,897989,898477,+,P,10.0,['TU0-13072'],[[]],[],[None],[None]
G0-17089,b4814,zbiJ,,small regulatory RNA ZbiJ,,837435,837531,-,R,,[],[],[],[None],[None]
G7148,b2176,pdeN,rtn,putative c-di-GMP phosphodiesterase PdeN,P76446,2270726,2272282,+,P,7.0,['TU0-13551'],[[]],[],[None],[None]
G0-17115,b4838,fimR2,,small regulatory RNA FimR2,,4543674,4543708,+,R,11.0,['TU182'],"[['PM241', 'PM241', 'PM241', 'PM241', 'PM241', 'PM241', 'PM241', 'PM241', 'PM241']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None]","['Fis, QseB-Pasp51, Lrp, IHF, H-NS']",[None]
EG30079,b3758,rrlC,,23S ribosomal RNA,,3943704,3946607,+,R,3.0,"['TU0-45209', 'TU0-1184', 'TU0-1183']","[['PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-46509'], ['PM0-1344', 'PM0-1344'], ['PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343']]","['RPOH-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, 'RPOH-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None]","['Fis', None, 'Fis']","['Lrp-leu, H-NS, ppGpp, DksA, DksA-ppGpp', 'NhaR-Na+', 'NhaR-Na+, DksA-ppGpp, DksA, ppGpp, Lrp-leu']"
G0-8899,b4426,mcaS,"IS061,isrA",small regulatory RNA McaS,,1405658,1405751,-,R,4.0,['TU0-8839'],"[['PM0-46176', 'PM0-46176']]","[None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],[None]
EG11326,b0337,codA,,cytosine/isoguanine deaminase,P25524,356171,357454,+,P,10.0,['TU00197'],"[['PM00278', 'PM00278', 'PM00278']]","['RPOD-MONOMER', None, None]",['Nac'],['PurR-hypoxanthine']
G7040,b1932,yedL,,putative acetyltransferase YedL,P76319,2010600,2011079,+,P,6.0,['TU0-13457'],[[]],[],[None],['Nac']
EG11350,b3629,waaS,rfaS,lipopolysaccharide core biosynthesis protein WaaS,P27126,3804181,3805116,-,P,1.0,"['TU0-7162', 'TU0-7161']","[['PM0-7504'], ['PM0-7502']]","[None, 'RPOD-MONOMER']","[None, None]","[None, None]"
G7457,b2813,mltA,"ygdM,mlt",membrane-bound lytic murein transglycosylase A,P0A935,2946081,2947178,-,P,7.0,['TU0-13743'],[[]],[],[None],[None]
EG10755,b4226,ppa,,inorganic pyrophosphatase,P0A7A9,4449122,4449652,-,P,11.0,['TU0-8492'],[['PM0-10191']],[None],[None],[None]
EG11732,b3754,hsrA,yieO,putative transporter HsrA,P31474,3939185,3940612,-,P,2.0,['TU0-14033'],[[]],[],[None],[None]
G7535,b2968,yghD,ecfC,putative type II secretion system M-type protein YghD,Q46832,3110590,3111126,-,P,11.0,['TU0-13811'],[[]],[],[None],[None]
G7454,b2810,csdA,ygdJ,cysteine sulfinate desulfinase,Q46925,2943337,2944542,+,P,5.0,['TU0-13741'],[[]],[],[None],[None]
G7940,b4347,symE,"yjiW,dinL,sosC",nucleoid-associated protein SymE,P39394,4579499,4579840,-,P,8.0,['TU0-8264'],"[['PM0-9611', 'PM0-9611']]","['RPOD-MONOMER', None]",[None],"['SymR, LexA']"
G6869,b1625,cnu,ydgT,H-NS- and StpA-binding protein,P64467,1704949,1705164,+,P,5.0,['TU0-13352'],[[]],[],[None],[None]
G7589,b3051,yqiK,,flotillin family inner membrane protein YqiK,P77306,3192864,3194525,+,P,6.0,['TU0-13844'],[[]],[],[None],[None]
EG12267,b3546,eptB,yhjW,phosphoethanolamine transferase EptB,P37661,3708784,3710475,-,P,7.0,"['TU0-45247', 'TU0-13975']","[['PM0-46548'], ['PM0-10506']]","['RPOE-MONOMER', 'RPOD-MONOMER']","[None, None]","['MgrR, ArcZ', 'ArcZ, MgrR']"
G7272,b2442,intZ,,CPZ-55 prophage; putative phage integrase IntZ,P76542,2558858,2560066,+,P,3.0,['TU0-13628'],[[]],[],[None],[None]
G7463,b2843,kduI,yqeE,5-dehydro-4-deoxy-D-glucuronate isomerase,Q46938,2983288,2984124,-,P,5.0,['TU0-13756'],[[]],[],[None],['Nac']
G6747,b1436,yncJ,,DUF2554 domain-containing protein YncJ,P64459,1508834,1509064,-,P,4.0,['TU0-14242'],[[]],[],[None],[None]
G6476,b0934,ssuC,ycbM,aliphatic sulfonate ABC transporter membrane subunit,P75851,994041,994832,-,P,3.0,['TU0-6629'],"[['PM169', 'PM169', 'PM169', 'PM169', 'PM169', 'PM169', 'PM169']]","['RPOD-MONOMER', None, None, None, None, None, None]","['Fnr, Cbl, IHF']","['Cra, DNA-binding transcriptional dual regulator CysB, IHF']"
G7117,b2080,yegP,,DUF1508 domain-containing protein YegP,P76402,2165189,2165521,+,P,9.0,['TU0-13504'],[[]],[],['ppGpp'],[None]
G7402,b2674,nrdI,ygaO,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,P0A772,2800965,2801375,+,P,11.0,['TU0-1022'],"[['PM0-1182', 'PM0-1182', 'PM0-1182', 'PM0-1182', 'PM0-3603', 'PM0-1182']]","['RPOD-MONOMER', None, None, None, None, None]",['IscR'],"['Cra, NrdR transcriptional repressor, DNA-binding transcriptional dual regulator Fur']"
G7349,b2583,tapT,"yfiP,tuaA",tRNA 3-amino-3-carboxypropyltransferase,Q47319,2719223,2719921,+,P,1.0,['TU0-13671'],[[]],[],[None],[None]
EG11381,b3049,glgS,scoR,surface composition regulator,P26649,3191739,3191939,-,P,5.0,"['TU00420', 'TU00279']","[['PM00568'], ['PM00567', 'PM00567']]","['RPOS-MONOMER', 'RPOS-MONOMER', None]","[None, 'ppGpp, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['CsrA', 'CsrA']"
