,genes_name,genes_id,product,locus_tag
161,yabR,G0-16721,protein YabR,b4726
162,ilvI,EG10500,,b0077
163,ilvI,EG10500,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",b0077
164,ilvH,EG10499,,b0078
165,ilvH,EG10499,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",b0078
166,cra,EG10338,,b0080
167,cra,EG10338,DNA-binding transcriptional dual regulator Cra,b0080
168,mraZ,EG11084,,b0081
169,mraZ,EG11084,DNA-binding transcriptional repressor MraZ,b0081
170,rsmH,EG11085,,b0082
171,rsmH,EG11085,16S rRNA m(4)C1402 methyltransferase,b0082
172,ftsL,EG11086,,b0083
173,ftsL,EG11086,cell division protein FtsL,b0083
174,ftsI,EG10341,,b0084
175,ftsI,EG10341,peptidoglycan DD-transpeptidase FtsI,b0084
176,ftsO,G0-17085,,b4810
177,ftsO,G0-17085,small regulatory RNA FtsO,b4810
178,murE,EG10621,,b0085
179,murE,EG10621,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",b0085
180,murF,EG10622,,b0086
181,murF,EG10622,D-alanyl-D-alanine-adding enzyme,b0086
182,mraY,EG10604,,b0087
183,mraY,EG10604,phospho-N-acetylmuramoyl-pentapeptide- transferase,b0087
184,murD,EG10620,,b0088
185,murD,EG10620,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,b0088
186,ftsW,EG10344,,b0089
187,ftsW,EG10344,peptidoglycan glycosyltransferase FtsW,b0089
188,murG,EG10623,,b0090
189,murG,EG10623,N-acetylglucosaminyl transferase,b0090
190,murC,EG10619,,b0091
191,murC,EG10619,UDP-N-acetylmuramate--L-alanine ligase,b0091
192,ddlB,EG10214,,b0092
193,ddlB,EG10214,D-alanine--D-alanine ligase B,b0092
194,ftsQ,EG10342,,b0093
195,ftsQ,EG10342,cell division protein FtsQ,b0093
196,ftsA,EG10339,,b0094
197,ftsA,EG10339,cell division protein FtsA,b0094
198,ftsZ,EG10347,,b0095
199,ftsZ,EG10347,cell division protein FtsZ,b0095
200,lpxC,EG10265,,b0096
201,lpxC,EG10265,UDP-3-O-acyl-N-acetylglucosamine deacetylase,b0096
202,secM,EG11087,,b0097
203,secM,EG11087,SecA translation regulator,b0097
204,secA,EG10936,,b0098
205,secA,EG10936,protein translocation ATPase,b0098
206,mutT,EG10626,,b0099
207,mutT,EG10626,8-oxo-dGTP diphosphatase,b0099
208,yacG,EG12314,,b0101
209,yacG,EG12314,DNA gyrase inhibitor YacG,b0101
210,zapD,EG12313,,b0102
211,zapD,EG12313,cell division factor ZapD,b0102
212,coaE,EG12312,,b0103
213,coaE,EG12312,dephospho-CoA kinase,b0103
214,yacM,G0-16722,,b4727
215,yacM,G0-16722,protein YacM,b4727
216,guaC,EG10422,,b0104
217,guaC,EG10422,GMP reductase,b0104
218,hofC,EG11798,,b0106
219,hofC,EG11798,inner membrane protein HofC,b0106
220,hofB,EG12106,,b0107
221,hofB,EG12106,T2SSE family protein,b0107
222,ppdD,EG12107,,b0108
223,ppdD,EG12107,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,b0108
224,nadC,EG11546,,b0109
225,nadC,EG11546,quinolinate phosphoribosyltransferase (decarboxylating),b0109
226,ampD,EG10041,,b0110
227,ampD,EG10041,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",b0110
228,ampE,EG10042,,b0111
229,ampE,EG10042,protein AmpE,b0111
230,aroP,EG10084,,b0112
231,aroP,EG10084,aromatic amino acid:H(+) symporter AroP,b0112
232,pdhR,EG11088,,b0113
233,pdhR,EG11088,DNA-binding transcriptional dual regulator PdhR,b0113
234,aceE,EG10024,,b0114
235,aceE,EG10024,pyruvate dehydrogenase E1 component,b0114
236,aceF,EG10025,,b0115
237,aceF,EG10025,"pyruvate dehydrogenase, E2 subunit",b0115
238,lpd,EG10543,,b0116
239,lpd,EG10543,lipoamide dehydrogenase,b0116
240,yacH,EG12315,,b0117
241,yacH,EG12315,DUF3300 domain-containing protein YacH,b0117
242,acnB,EG12316,,b0118
243,acnB,EG12316,AcnB,b0118
244,yacL,EG12605,,b0119
245,yacL,EG12605,PF06062 family protein YacL,b0119
246,speD,EG10962,,b0120
247,speD,EG10962,S-adenosylmethionine decarboxylase proenzyme,b0120
248,speE,EG10963,,b0121
249,speE,EG10963,spermidine synthase,b0121
250,yacC,EG11089,,b0122
251,yacC,EG11089,putative lipoprotein YacC,b0122
252,cueO,EG12318,,b0123
253,cueO,EG12318,multicopper oxidase CueO,b0123
254,gcd,EG10369,,b0124
255,gcd,EG10369,quinoprotein glucose dehydrogenase,b0124
256,hpt,EG20098,,b0125
257,hpt,EG20098,hypoxanthine phosphoribosyltransferase,b0125
258,can,EG12319,,b0126
259,can,EG12319,carbonic anhydrase 2,b0126
260,yadG,EG12320,,b0127
261,yadG,EG12320,putative ABC transporter ATP-binding protein YadG,b0127
262,yadH,EG12321,,b0128
263,yadH,EG12321,putative ABC transporter membrane subunit YadH,b0128
264,yadI,EG12322,,b0129
265,yadI,EG12322,putative PTS enzyme IIA component YadI,b0129
266,yadE,EG11749,,b0130
267,yadE,EG11749,putative polysaccharide deacetylase lipoprotein YadE,b0130
268,panD,EG11747,,b0131
269,panD,EG11747,aspartate 1-decarboxylase proenzyme,b0131
270,rpnC,EG11748,,b0132
271,rpnC,EG11748,recombination-promoting nuclease RpnC,b0132
272,panC,EG11746,,b0133
273,panC,EG11746,pantothenate synthetase,b0133
274,panB,EG11675,,b0134
275,panB,EG11675,3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134
276,yadC,EG11678,,b0135
277,yadC,EG11678,fimbrial tip-adhesin YadC,b0135
278,yadK,EG12325,,b0136
279,yadK,EG12325,putative fimbrial protein YadK,b0136
280,yadL,EG12326,,b0137
281,yadL,EG12326,putative fimbrial protein YadL,b0137
282,yadM,EG12327,,b0138
283,yadM,EG12327,putative fimbrial protein YadM,b0138
284,htrE,EG11972,,b0139
285,htrE,EG11972,putative fimbrial usher protein HtrE,b0139
286,yadV,EG11973,,b0140
287,yadV,EG11973,putative fimbrial chaperone YadV,b0140
288,yadN,EG12328,,b0141
289,yadN,EG12328,putative fimbrial protein YadN,b0141
290,folK,EG11374,,b0142
291,folK,EG11374,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,b0142
292,pcnB,EG10690,,b0143
293,pcnB,EG10690,poly(A) polymerase I,b0143
294,gluQ,EG11362,,b0144
295,gluQ,EG11362,glutamyl-Q tRNA(Asp) synthetase,b0144
296,dksA,EG10230,,b0145
297,dksA,EG10230,RNA polymerase-binding transcription factor DksA,b0145
298,sfsA,EG10949,,b0146
299,sfsA,EG10949,sugar fermentation stimulation protein A,b0146
300,thpR,EG12330,,b0147
301,thpR,EG12330,"RNA 2',3'-cyclic phosphodiesterase",b0147
302,hrpB,EG12329,,b0148
303,hrpB,EG12329,RNA-dependent NTPase HrpB,b0148
304,mrcB,EG10605,,b0149
305,mrcB,EG10605,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,b0149
306,mrcB,EG10605,PBP1Bgamma,b0149
307,fhuA,EG10302,,b0150
308,fhuA,EG10302,ferrichrome outer membrane transporter/phage receptor,b0150
309,fhuC,EG10304,,b0151
310,fhuC,EG10304,iron(III) hydroxamate ABC transporter ATP binding subunit,b0151
311,fhuD,EG10305,,b0152
312,fhuD,EG10305,iron(III) hydroxamate ABC transporter periplasmic binding protein,b0152
313,fhuB,EG10303,,b0153
314,fhuB,EG10303,iron(III) hydroxamate ABC transporter membrane subunit,b0153
315,hemL,EG10432,,b0154
316,hemL,EG10432,"glutamate-1-semialdehyde 2,1-aminomutase",b0154
317,yadX,G0-17011,,b4765
318,yadX,G0-17011,protein YadX,b4765
319,clcA,EG12331,,b0155
320,clcA,EG12331,chloride:H(+) antiporter ClcA,b0155
321,yadW,G0-16723,,b4728
322,yadW,G0-16723,protein YadW,b4728
323,erpA,EG12332,,b0156
324,erpA,EG12332,iron-sulfur cluster insertion protein ErpA,b0156
325,yadS,EG12333,,b0157
326,yadS,EG12333,PF03458 family protein YadS,b0157
327,btuF,EG12334,,b0158
328,btuF,EG12334,vitamin B12 ABC transporter periplasmic binding protein,b0158
329,mtn,EG11090,,b0159
330,mtn,EG11090,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,b0159
331,dgt,EG10225,,b0160
332,dgt,EG10225,dGTP triphosphohydrolase,b0160
333,degP,EG10463,,b0161
334,degP,EG10463,periplasmic serine endoprotease DegP,b0161
335,cdaR,EG12335,,b0162
336,cdaR,EG12335,DNA-binding transcriptional activator CdaR,b0162
337,yaeH,EG12336,,b0163
338,yaeH,EG12336,DUF3461 domain-containing protein YaeH,b0163
339,yaeI,EG12337,,b0164
340,yaeI,EG12337,phosphodiesterase YaeI,b0164
341,dapD,EG10207,,b0166
342,dapD,EG10207,tetrahydrodipicolinate succinylase,b0166
343,glnD,EG11411,,b0167
344,glnD,EG11411,protein-PII uridylyltransferase/uridylyl-removing enzyme,b0167
345,map,EG10570,,b0168
346,map,EG10570,methionine aminopeptidase,b0168
347,tff,G0-8895,,b4414
348,tff,G0-8895,putative small RNA T44,b4414
349,rpsB,EG10901,,b0169
350,rpsB,EG10901,30S ribosomal subunit protein S2,b0169
351,tsf,EG11033,,b0170
352,tsf,EG11033,protein chain elongation factor EF-Ts,b0170
353,pyrH,EG11539,,b0171
354,pyrH,EG11539,UMP kinase,b0171
355,frr,EG10335,,b0172
356,frr,EG10335,ribosome-recycling factor,b0172
357,dxr,EG12715,,b0173
358,dxr,EG12715,1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0173
359,ispZ,G0-17084,,b4809
360,ispZ,G0-17084,small regulatory RNA IspZ,b4809
361,ispU,G6092,,b0174
362,ispU,G6092,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",b0174
363,cdsA,EG10139,,b0175
364,cdsA,EG10139,CDP-diglyceride synthetase,b0175
365,rseP,EG12436,,b0176
366,rseP,EG12436,intramembrane zinc metalloprotease RseP,b0176
367,bamA,G6093,,b0177
368,bamA,G6093,outer membrane protein assembly factor BamA,b0177
369,skp,EG10455,,b0178
370,skp,EG10455,periplasmic chaperone Skp,b0178
371,lpxD,EG10316,,b0179
372,lpxD,EG10316,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,b0179
373,fabZ,EG11284,,b0180
374,fabZ,EG11284,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,b0180
375,lpxA,EG10545,,b0181
376,lpxA,EG10545,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,b0181
377,lpxB,EG10546,,b0182
378,lpxB,EG10546,lipid A disaccharide synthase,b0182
379,rnhB,EG10861,,b0183
380,rnhB,EG10861,RNase HII,b0183
381,dnaE,EG10238,,b0184
382,dnaE,EG10238,DNA polymerase III subunit alpha,b0184
383,accA,EG11647,,b0185
384,accA,EG11647,acetyl-CoA carboxyltransferase subunit alpha,b0185
385,ldcC,G6094,,b0186
386,ldcC,G6094,lysine decarboxylase 2,b0186
387,yaeR,G6095,,b0187
388,yaeR,G6095,VOC domain-containing protein YaeR,b0187
389,tilS,G6096,,b0188
390,tilS,G6096,tRNA(Ile)-lysidine synthetase,b0188
391,rof,G6097,,b0189
392,rof,G6097,modulator of Rho-dependent transcription termination,b0189
393,yaeP,G372,,b4406
394,yaeP,G372,PF06786 family protein YaeP,b4406
395,yaeQ,G6098,,b0190
396,yaeQ,G6098,uncharacterized protein YaeQ,b0190
397,arfB,EG12354,,b0191
398,arfB,EG12354,"peptidyl-tRNA hydrolase, ribosome rescue factor",b0191
399,nlpE,EG12137,,b0192
400,nlpE,EG12137,sensor lipoprotein NlpE,b0192
401,yaeF,EG12138,,b0193
402,yaeF,EG12138,peptidase C92 family protein YaeF,b0193
403,proS,EG10770,,b0194
404,proS,EG10770,proline--tRNA ligase,b0194
405,trmO,EG11503,,b0195
406,trmO,EG11503,tRNA m(6)t(6)A37 methyltransferase,b0195
407,rcsF,EG11502,,b0196
408,rcsF,EG11502,sensor lipoprotein RcsF,b0196
409,metQ,EG11504,,b0197
410,metQ,EG11504,L-methionine/D-methionine ABC transporter membrane anchored binding protein,b0197
411,metI,EG11737,,b0198
412,metI,EG11737,L-methionine/D-methionine ABC transporter membrane subunit,b0198
413,metN,EG11621,,b0199
414,metN,EG11621,L-methionine/D-methionine ABC transporter ATP binding subunit,b0199
415,gmhB,EG11736,,b0200
416,gmhB,EG11736,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",b0200
417,rrsH,EG30090,,b0201
418,rrsH,EG30090,16S ribosomal RNA,b0201
419,ileV,EG30045,,b0202
420,ileV,EG30045,tRNA-Ile,b0202
421,alaV,EG30010,,b0203
422,alaV,EG30010,tRNA-Ala,b0203
423,rrlH,EG30083,,b0204
424,rrlH,EG30083,23S ribosomal RNA,b0204
425,rrfH,EG30076,,b0205
426,rrfH,EG30076,5S ribosomal RNA,b0205
427,aspU,EG30024,,b0206
428,aspU,EG30024,tRNA-Asp,b0206
429,dkgB,EG11648,,b0207
430,dkgB,EG11648,methylglyoxal reductase DkgB,b0207
431,yafC,EG11649,,b0208
432,yafC,EG11649,DNA-binding transcriptional regulator YafC,b0208
433,yafD,EG11650,,b0209
434,yafD,EG11650,endonuclease/exonuclease/phosphatase domain-containing protein YafD,b0209
435,yafE,EG11651,,b0210
436,yafE,EG11651,putative S-adenosylmethionine-dependent methyltransferase,b0210
437,mltD,EG10246,,b0211
438,mltD,EG10246,membrane-bound lytic murein transglycosylase D,b0211
439,gloB,G6099,,b0212
440,gloB,G6099,hydroxyacylglutathione hydrolase GloB,b0212
441,ykfO,G0-17090,,b4815
442,ykfO,G0-17090,protein YkfO,b4815
443,yafS,G6100,,b0213
444,yafS,G6100,putative S-adenosyl-L-methionine-dependent methyltransferase,b0213
445,rnhA,EG10860,,b0214
446,rnhA,EG10860,ribonuclease HI,b0214
447,dnaQ,EG10243,,b0215
448,dnaQ,EG10243,DNA polymerase III subunit epsilon,b0215
449,aspV,EG30025,,b0216
450,aspV,EG30025,tRNA-Asp,b0216
451,yafT,G6101,,b0217
452,yafT,G6101,lipoprotein YafT,b0217
453,ykfM,G0-10583,,b4586
454,ykfM,G0-10583,uncharacterized protein YkfM,b4586
455,yafU,G6102,,b0218
456,yafF,G0-10431,,b4503
457,yafV,G6103,,b0219
458,yafV,G6103,2-oxoglutaramate amidase,b0219
459,ivy,G6104,,b0220
460,ivy,G6104,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",b0220
461,fadE,G6105,,b0221
462,fadE,G6105,acyl-CoA dehydrogenase,b0221
463,gmhA,G6106,,b0222
464,gmhA,G6106,D-sedoheptulose 7-phosphate isomerase,b0222
465,yafJ,G6107,,b0223
466,yafJ,G6107,putative glutamine amidotransferase YafJ,b0223
467,dpaA,G6108,,b0224
468,dpaA,G6108,peptidoglycan meso-diaminopimelic acid protein amidase A,b0224
469,yafQ,G6109,,b0225
470,yafQ,G6109,ribosome-dependent mRNA interferase toxin YafQ,b0225
471,dinJ,G6110,,b0226
472,dinJ,G6110,antitoxin/DNA-binding transcriptional repressor DinJ,b0226
473,yafL,G6111,,b0227
474,yafL,G6111,NlpC/P60 family protein YafL,b0227
475,rayT,G6112,,b0228
476,rayT,G6112,REP-associated tyrosine transposase,b0228
477,lfhA,G6113,,b0229
478,lafU,G6114,,b0230
479,dinB,G6115,,b0231
480,dinB,G6115,DNA polymerase IV,b0231
481,yafN,G6116,,b0232
482,yafN,G6116,antitoxin YafN,b0232
483,yafO,G6117,,b0233
484,yafO,G6117,ribosome-dependent mRNA interferase toxin YafO,b0233
485,yafP,G6118,,b0234
486,yafP,G6118,putative N-acetyltransferase YafP,b0234
487,ykfJ,G6119,,b0235
488,prfH,EG11496,,b0236
489,pepD,EG10695,,b0237
490,pepD,EG10695,peptidase D,b0237
491,gpt,EG10414,,b0238
492,gpt,EG10414,xanthine-guanine phsophoribosyltransferase,b0238
493,frsA,EG11091,,b0239
494,frsA,EG11091,fermentation-respiration switch protein,b0239
495,crl,EG11092,,b0240
496,crl,EG11092,RNA polymerase holoenzyme assembly factor Crl,b0240
497,crl,G0-16684,,b0240
498,insB9,G0-16637,,b4710
499,insB9,G0-16637,IS1 family transposase B,b4710
500,insA9,G0-16638,,b4709
501,insA9,G0-16638,IS1 family repressor TnpA,b4709
502,crl,G0-16683,,b0240
503,phoE,EG10729,,b0241
504,phoE,EG10729,outer membrane porin PhoE,b0241
505,proB,EG10768,,b0242
506,proB,EG10768,glutamate 5-kinase,b0242
507,proA,EG10767,,b0243
508,proA,EG10767,glutamate-5-semialdehyde dehydrogenase,b0243
509,thrW,EG30104,,b0244
510,thrW,EG30104,tRNA-Thr,b0244
511,ykfN,G0-16715,,b4626
512,ykfI,G6120,,b0245
513,ykfI,G6120,toxin of the YkfI-YafW toxin-antitoxin system,b0245
514,yafW,G6121,,b0246
515,yafW,G6121,antitoxin of the YkfI-YafW toxin-antitoxin pair,b0246
516,ykfH,G0-10432,,b4504
517,ykfH,G0-10432,DUF987 domain-containing protein YkfH,b4504
518,ykfG,G6122,,b0247
519,ykfG,G6122,RadC-like JAB domain-containing protein YkfG,b0247
520,yafX,G6123,,b0248
521,yafX,G6123,protein YafX,b0248
522,ykfF,G6124,,b0249
523,ykfF,G6124,protein YkfF,b0249
524,ykfB,G6125,,b0250
525,ykfB,G6125,protein YkfB,b0250
526,yafY,G6126,,b0251
527,yafY,G6126,inner membrane lipoprotein YafY,b0251
528,ykfL,G0-10614,,b4627
529,ykfK,G0-10615,,b4628
530,yafZ,G6127,,b0252
531,yafZ,G6127,DUF932 domain-containing protein YafZ,b0252
532,ykfA,G6128,,b0253
533,ykfA,G6128,putative GTP-binding protein YkfA,b0253
534,perR,G6129,,b0254
535,perR,G6129,putative transcriptional regulator PerR,b0254
536,insN,G6130,,b4587
537,insN,G6130,IS911A regulator fragment,b4587
538,insN,GFRAG0-14,,b4587
539,insI1,G6131,,b0256
540,insI1,G6131,IS30 family transposase,b0256
541,insN,G6132,,b4587
542,eyeA,G0-10696,,b4690
543,eyeA,G0-10696,small RNA EyeA,b4690
544,ykfC,G6133,,b0258
545,ykfC,G6133,PF00078 domain-containing protein YkfC,b0258
546,insH1,G6134,,b0259
547,insH1,G6134,IS5 family transposase and trans-activator,b0259
548,mmuP,G6135,,b0260
549,mmuP,G6135,S-methyl-L-methionine transporter,b0260
550,mmuM,G6136,,b0261
551,mmuM,G6136,homocysteine S-methyltransferase,b0261
552,afuC,EG12340,,b0262
553,afuC,EG12340,ABC transporter ATP-binding protein AfuC,b0262
554,afuB,G6137,,b0263
555,insB2,G6138,,b0264
556,insB2,G6138,IS1 family protein InsB,b0264
557,insA2,G6139,,b0265
558,insA2,G6139,IS1 family protein InsA,b0265
559,insI2,G0-16679,,b4708
560,insX,G0-10433,,b4505
561,yagB,EG12339,,b0266
562,yagB,EG12339,orphan antitoxin YagB,b0266
563,yagA,EG12338,,b0267
564,yagA,EG12338,integrase core domain-containing protein YagA,b0267
565,yagE,G6140,,b0268
566,yagE,G6140,putative 2-dehydro-3-deoxygluconate aldolase,b0268
567,yagF,G6141,,b0269
568,yagF,G6141,D-xylonate dehydratase,b0269
569,yagG,G6142,,b0270
570,yagG,G6142,putative D-xylonate transporter YagG,b0270
571,yagH,G6143,,b0271
572,yagH,G6143,putative xylosidase/arabinosidase,b0271
573,xynR,G6144,,b0272
574,xynR,G6144,DNA-binding transcriptional repressor XynR,b0272
575,argF,EG10067,,b0273
576,argF,EG10067,ornithine carbamoyltransferase ArgF,b0273
577,argL,G0-17012,,b4766
578,argL,G0-17012,putative translational regulatory protein ArgL,b4766
579,ykgS,G0-16674,,b4688
580,ykgS,G0-16674,protein YkgS,b4688
581,insB3,G6145,,b0274
582,insB3,G6145,IS1 family protein InsB,b0274
583,insA3,G6146,,b0275
584,insA3,G6146,IS1 family protein InsA,b0275
585,yagJ,G6147,,b0276
586,yagJ,G6147,protein YagJ,b0276
587,yagK,G6148,,b0277
