,genes_name,genes_id,genes_href
30,hyfF,G7303,https://biocyc.org/gene?orgid=ECOLI&id=G7303
31,eutQ,G7290,https://biocyc.org/gene?orgid=ECOLI&id=G7290
32,ytgB,G0-17096,https://biocyc.org/gene?orgid=ECOLI&id=G0-17096
33,pykA,EG10803,https://biocyc.org/gene?orgid=ECOLI&id=EG10803
34,nuoK,EG12091,https://biocyc.org/gene?orgid=ECOLI&id=EG12091
35,yciZ,G0-10591,https://biocyc.org/gene?orgid=ECOLI&id=G0-10591
36,potB,EG10750,https://biocyc.org/gene?orgid=ECOLI&id=EG10750
37,hycH,EG10481,https://biocyc.org/gene?orgid=ECOLI&id=EG10481
38,napC,EG12060,https://biocyc.org/gene?orgid=ECOLI&id=EG12060
39,ymjC,G0-10446,https://biocyc.org/gene?orgid=ECOLI&id=G0-10446
40,eutJ,G7284,https://biocyc.org/gene?orgid=ECOLI&id=G7284
41,adhE,EG10031,https://biocyc.org/gene?orgid=ECOLI&id=EG10031
42,torA,EG11814,https://biocyc.org/gene?orgid=ECOLI&id=EG11814
43,yecD,EG12378,https://biocyc.org/gene?orgid=ECOLI&id=EG12378
44,puuC,EG10036,https://biocyc.org/gene?orgid=ECOLI&id=EG10036
45,hycE,EG10478,https://biocyc.org/gene?orgid=ECOLI&id=EG10478
46,menB,EG11368,https://biocyc.org/gene?orgid=ECOLI&id=EG11368
47,naRNA4,G0-16697,https://biocyc.org/gene?orgid=ECOLI&id=G0-16697
48,eutA,G7281,https://biocyc.org/gene?orgid=ECOLI&id=G7281
49,ttdB,EG11169,https://biocyc.org/gene?orgid=ECOLI&id=EG11169
50,menD,EG10579,https://biocyc.org/gene?orgid=ECOLI&id=EG10579
51,yjbJ,EG11928,https://biocyc.org/gene?orgid=ECOLI&id=EG11928
52,potH,EG11631,https://biocyc.org/gene?orgid=ECOLI&id=EG11631
53,hycB,EG10475,https://biocyc.org/gene?orgid=ECOLI&id=EG10475
54,frdD,EG10333,https://biocyc.org/gene?orgid=ECOLI&id=EG10333
55,ybiB,EG11580,https://biocyc.org/gene?orgid=ECOLI&id=EG11580
56,puuA,G6644,https://biocyc.org/gene?orgid=ECOLI&id=G6644
57,pykF,EG10804,https://biocyc.org/gene?orgid=ECOLI&id=EG10804
58,hyfC,G7300,https://biocyc.org/gene?orgid=ECOLI&id=G7300
59,yjgR,G7890,https://biocyc.org/gene?orgid=ECOLI&id=G7890
60,caiC,EG11558,https://biocyc.org/gene?orgid=ECOLI&id=EG11558
61,pflB,EG10701,https://biocyc.org/gene?orgid=ECOLI&id=EG10701
62,nuoH,EG12088,https://biocyc.org/gene?orgid=ECOLI&id=EG12088
63,eutP,G7291,https://biocyc.org/gene?orgid=ECOLI&id=G7291
64,esrE,G0-10737,https://biocyc.org/gene?orgid=ECOLI&id=G0-10737
65,fdhF,EG10285,https://biocyc.org/gene?orgid=ECOLI&id=EG10285
66,nrfF,EG11949,https://biocyc.org/gene?orgid=ECOLI&id=EG11949
67,yheT,G7718,https://biocyc.org/gene?orgid=ECOLI&id=G7718
68,potC,EG10751,https://biocyc.org/gene?orgid=ECOLI&id=EG10751
69,hycF,EG10479,https://biocyc.org/gene?orgid=ECOLI&id=EG10479
70,hybD,EG11802,https://biocyc.org/gene?orgid=ECOLI&id=EG11802
71,yqhG,G7566,https://biocyc.org/gene?orgid=ECOLI&id=G7566
72,eutE,G7285,https://biocyc.org/gene?orgid=ECOLI&id=G7285
73,frmA,EG50010,https://biocyc.org/gene?orgid=ECOLI&id=EG50010
74,fdnH,EG11228,https://biocyc.org/gene?orgid=ECOLI&id=EG11228
75,ygbM,G7420,https://biocyc.org/gene?orgid=ECOLI&id=G7420
76,eutB,EG50006,https://biocyc.org/gene?orgid=ECOLI&id=EG50006
77,hycC,EG10476,https://biocyc.org/gene?orgid=ECOLI&id=EG10476
78,hypC,EG10485,https://biocyc.org/gene?orgid=ECOLI&id=EG10485
79,yeiW,G0-10511,https://biocyc.org/gene?orgid=ECOLI&id=G0-10511
80,nagE,EG10635,https://biocyc.org/gene?orgid=ECOLI&id=EG10635
81,frsA,EG11091,https://biocyc.org/gene?orgid=ECOLI&id=EG11091
82,frdA,EG10330,https://biocyc.org/gene?orgid=ECOLI&id=EG10330
83,yeeZ,G7089,https://biocyc.org/gene?orgid=ECOLI&id=G7089
84,metF,EG10585,https://biocyc.org/gene?orgid=ECOLI&id=EG10585
85,hypB,EG10484,https://biocyc.org/gene?orgid=ECOLI&id=EG10484
86,adhP,G6775,https://biocyc.org/gene?orgid=ECOLI&id=G6775
87,yniA,G6930,https://biocyc.org/gene?orgid=ECOLI&id=G6930
88,folA,EG10326,https://biocyc.org/gene?orgid=ECOLI&id=EG10326
89,hycG,EG10480,https://biocyc.org/gene?orgid=ECOLI&id=EG10480
90,nuoC,EG12084,https://biocyc.org/gene?orgid=ECOLI&id=EG12084
91,yddK,G6772,https://biocyc.org/gene?orgid=ECOLI&id=G6772
92,purU,EG11819,https://biocyc.org/gene?orgid=ECOLI&id=EG11819
93,purB,EG11314,https://biocyc.org/gene?orgid=ECOLI&id=EG11314
94,nrfC,EG11946,https://biocyc.org/gene?orgid=ECOLI&id=EG11946
95,folC,EG10327,https://biocyc.org/gene?orgid=ECOLI&id=EG10327
96,yggM,EG12704,https://biocyc.org/gene?orgid=ECOLI&id=EG12704
97,purM,EG10798,https://biocyc.org/gene?orgid=ECOLI&id=EG10798
98,grcA,EG11784,https://biocyc.org/gene?orgid=ECOLI&id=EG11784
99,ymcE,G6512,https://biocyc.org/gene?orgid=ECOLI&id=G6512
100,folM,G6862,https://biocyc.org/gene?orgid=ECOLI&id=G6862
101,purD,EG10792,https://biocyc.org/gene?orgid=ECOLI&id=EG10792
102,narZ,EG10648,https://biocyc.org/gene?orgid=ECOLI&id=EG10648
103,ylaC,G6253,https://biocyc.org/gene?orgid=ECOLI&id=G6253
104,thyA,EG11002,https://biocyc.org/gene?orgid=ECOLI&id=EG11002
105,purT,EG11809,https://biocyc.org/gene?orgid=ECOLI&id=EG11809
106,hyaE,EG10472,https://biocyc.org/gene?orgid=ECOLI&id=EG10472
107,yafS,G6100,https://biocyc.org/gene?orgid=ECOLI&id=G6100
108,folD,EG10328,https://biocyc.org/gene?orgid=ECOLI&id=EG10328
109,purN,EG10799,https://biocyc.org/gene?orgid=ECOLI&id=EG10799
110,dmsC,EG10234,https://biocyc.org/gene?orgid=ECOLI&id=EG10234
111,grxA,EG10417,https://biocyc.org/gene?orgid=ECOLI&id=EG10417
112,yiaL,EG12280,https://biocyc.org/gene?orgid=ECOLI&id=EG12280
113,purK,EG10796,https://biocyc.org/gene?orgid=ECOLI&id=EG10796
114,dcuS,G7827,https://biocyc.org/gene?orgid=ECOLI&id=G7827
115,mdtU,G0-17023,https://biocyc.org/gene?orgid=ECOLI&id=G0-17023
116,grxC,EG12294,https://biocyc.org/gene?orgid=ECOLI&id=EG12294
117,purE,EG10793,https://biocyc.org/gene?orgid=ECOLI&id=EG10793
118,ybiY,G6427,https://biocyc.org/gene?orgid=ECOLI&id=G6427
119,yqfH,G0-16747,https://biocyc.org/gene?orgid=ECOLI&id=G0-16747
120,trxA,EG11031,https://biocyc.org/gene?orgid=ECOLI&id=EG11031
121,purL,EG10797,https://biocyc.org/gene?orgid=ECOLI&id=EG10797
122,nikE,EG12079,https://biocyc.org/gene?orgid=ECOLI&id=EG12079
123,speE,EG10963,https://biocyc.org/gene?orgid=ECOLI&id=EG10963
124,grxB,EG12688,https://biocyc.org/gene?orgid=ECOLI&id=EG12688
125,purF,EG10794,https://biocyc.org/gene?orgid=ECOLI&id=EG10794
126,pflD,EG11910,https://biocyc.org/gene?orgid=ECOLI&id=EG11910
127,trxC,EG11887,https://biocyc.org/gene?orgid=ECOLI&id=EG11887
128,yejL,EG12043,https://biocyc.org/gene?orgid=ECOLI&id=EG12043
129,purC,EG10791,https://biocyc.org/gene?orgid=ECOLI&id=EG10791
130,nuoM,EG11773,https://biocyc.org/gene?orgid=ECOLI&id=EG11773
131,nrdH,G7401,https://biocyc.org/gene?orgid=ECOLI&id=G7401
132,ybeD,EG11592,https://biocyc.org/gene?orgid=ECOLI&id=EG11592
133,ybcN,G6303,https://biocyc.org/gene?orgid=ECOLI&id=G6303
134,narW,EG10645,https://biocyc.org/gene?orgid=ECOLI&id=EG10645
135,grxD,EG12181,https://biocyc.org/gene?orgid=ECOLI&id=EG12181
136,cspI,G6825,https://biocyc.org/gene?orgid=ECOLI&id=G6825
137,vsr,EG11068,https://biocyc.org/gene?orgid=ECOLI&id=EG11068
138,hyaB,EG10469,https://biocyc.org/gene?orgid=ECOLI&id=EG10469
139,speG,G6842,https://biocyc.org/gene?orgid=ECOLI&id=G6842
140,hslR,G7743,https://biocyc.org/gene?orgid=ECOLI&id=G7743
141,uvrB,EG11062,https://biocyc.org/gene?orgid=ECOLI&id=EG11062
142,pflA,EG10028,https://biocyc.org/gene?orgid=ECOLI&id=EG10028
143,htpX,EG10462,https://biocyc.org/gene?orgid=ECOLI&id=EG10462
144,yjaH,EG11917,https://biocyc.org/gene?orgid=ECOLI&id=EG11917
145,yebG,EG11808,https://biocyc.org/gene?orgid=ECOLI&id=EG11808
146,hyfR,G7308,https://biocyc.org/gene?orgid=ECOLI&id=G7308
147,speB,EG10960,https://biocyc.org/gene?orgid=ECOLI&id=EG10960
148,clpB,EG10157,https://biocyc.org/gene?orgid=ECOLI&id=EG10157
149,nfo,EG10651,https://biocyc.org/gene?orgid=ECOLI&id=EG10651
150,menF,EG12362,https://biocyc.org/gene?orgid=ECOLI&id=EG12362
151,speC,EG10961,https://biocyc.org/gene?orgid=ECOLI&id=EG10961
152,cspG,G6511,https://biocyc.org/gene?orgid=ECOLI&id=G6511
153,yegP,G7117,https://biocyc.org/gene?orgid=ECOLI&id=G7117
154,napA,EG12067,https://biocyc.org/gene?orgid=ECOLI&id=EG12067
155,bdcA,G7880,https://biocyc.org/gene?orgid=ECOLI&id=G7880
156,gss,EG12882,https://biocyc.org/gene?orgid=ECOLI&id=EG12882
157,mutH,EG10624,https://biocyc.org/gene?orgid=ECOLI&id=EG10624
158,fdoG,EG11858,https://biocyc.org/gene?orgid=ECOLI&id=EG11858
159,speD,EG10962,https://biocyc.org/gene?orgid=ECOLI&id=EG10962
160,yidR,EG11713,https://biocyc.org/gene?orgid=ECOLI&id=EG11713
161,cho,G6937,https://biocyc.org/gene?orgid=ECOLI&id=G6937
162,menC,EG11532,https://biocyc.org/gene?orgid=ECOLI&id=EG11532
163,aaeX,G7687,https://biocyc.org/gene?orgid=ECOLI&id=G7687
164,speA,EG10959,https://biocyc.org/gene?orgid=ECOLI&id=EG10959
165,alkA,EG11222,https://biocyc.org/gene?orgid=ECOLI&id=EG11222
166,narJ,EG10641,https://biocyc.org/gene?orgid=ECOLI&id=EG10641
167,ykiD,G0-16727,https://biocyc.org/gene?orgid=ECOLI&id=G0-16727
168,yghJ,G7541,https://biocyc.org/gene?orgid=ECOLI&id=G7541
169,mutM,EG10329,https://biocyc.org/gene?orgid=ECOLI&id=EG10329
170,glpR,EG10400,https://biocyc.org/gene?orgid=ECOLI&id=EG10400
171,yaeP,G372,https://biocyc.org/gene?orgid=ECOLI&id=G372
172,ygeQ,G7483,https://biocyc.org/gene?orgid=ECOLI&id=G7483
173,rusA,G6306,https://biocyc.org/gene?orgid=ECOLI&id=G6306
174,hyfG,G7304,https://biocyc.org/gene?orgid=ECOLI&id=G7304
175,ypjD,G7355,https://biocyc.org/gene?orgid=ECOLI&id=G7355
176,ytfJ,G7871,https://biocyc.org/gene?orgid=ECOLI&id=G7871
177,xthA,EG11073,https://biocyc.org/gene?orgid=ECOLI&id=EG11073
178,nuoL,EG12092,https://biocyc.org/gene?orgid=ECOLI&id=EG12092
179,ydcY,G6757,https://biocyc.org/gene?orgid=ECOLI&id=G6757
180,yfcD,G7191,https://biocyc.org/gene?orgid=ECOLI&id=G7191
181,recE,EG10827,https://biocyc.org/gene?orgid=ECOLI&id=EG10827
182,napB,EG12061,https://biocyc.org/gene?orgid=ECOLI&id=EG12061
183,dsrB,G7045,https://biocyc.org/gene?orgid=ECOLI&id=G7045
184,lpxD,EG10316,https://biocyc.org/gene?orgid=ECOLI&id=EG10316
185,mug,EG12717,https://biocyc.org/gene?orgid=ECOLI&id=EG12717
186,torC,EG11815,https://biocyc.org/gene?orgid=ECOLI&id=EG11815
187,ydhY,G6902,https://biocyc.org/gene?orgid=ECOLI&id=G6902
188,lpxP,G7241,https://biocyc.org/gene?orgid=ECOLI&id=G7241
189,uvrC,EG11063,https://biocyc.org/gene?orgid=ECOLI&id=EG11063
190,narQ,EG11460,https://biocyc.org/gene?orgid=ECOLI&id=EG11460
191,arnC,G7167,https://biocyc.org/gene?orgid=ECOLI&id=G7167
192,ycgB,EG11516,https://biocyc.org/gene?orgid=ECOLI&id=EG11516
193,gph,EG11871,https://biocyc.org/gene?orgid=ECOLI&id=EG11871
194,narG,EG10638,https://biocyc.org/gene?orgid=ECOLI&id=EG10638
195,ycgY,G6625,https://biocyc.org/gene?orgid=ECOLI&id=G6625
196,pagP,EG12180,https://biocyc.org/gene?orgid=ECOLI&id=EG12180
197,ung,EG11058,https://biocyc.org/gene?orgid=ECOLI&id=EG11058
198,glpA,EG10391,https://biocyc.org/gene?orgid=ECOLI&id=EG10391
199,yccS,G6495,https://biocyc.org/gene?orgid=ECOLI&id=G6495
200,lpxB,EG10546,https://biocyc.org/gene?orgid=ECOLI&id=EG10546
201,nth,EG10662,https://biocyc.org/gene?orgid=ECOLI&id=EG10662
202,hyfD,G7301,https://biocyc.org/gene?orgid=ECOLI&id=G7301
203,yahM,G6192,https://biocyc.org/gene?orgid=ECOLI&id=G6192
204,lpxL,EG10464,https://biocyc.org/gene?orgid=ECOLI&id=EG10464
205,cas1,G7425,https://biocyc.org/gene?orgid=ECOLI&id=G7425
206,nuoI,EG12089,https://biocyc.org/gene?orgid=ECOLI&id=EG12089
207,yhfY,G7734,https://biocyc.org/gene?orgid=ECOLI&id=G7734
208,arnA,G7168,https://biocyc.org/gene?orgid=ECOLI&id=G7168
209,tag,EG10986,https://biocyc.org/gene?orgid=ECOLI&id=EG10986
210,nrfG,EG11950,https://biocyc.org/gene?orgid=ECOLI&id=EG11950
211,yriA,G0-17037,https://biocyc.org/gene?orgid=ECOLI&id=G0-17037
212,lpxH,EG12666,https://biocyc.org/gene?orgid=ECOLI&id=EG12666
213,mutS,EG10625,https://biocyc.org/gene?orgid=ECOLI&id=EG10625
214,hybF,EG11804,https://biocyc.org/gene?orgid=ECOLI&id=EG11804
215,yncP,G0-17020,https://biocyc.org/gene?orgid=ECOLI&id=G0-17020
216,lpxM,EG10614,https://biocyc.org/gene?orgid=ECOLI&id=EG10614
217,yoaA,G6992,https://biocyc.org/gene?orgid=ECOLI&id=G6992
218,fdnI,EG11229,https://biocyc.org/gene?orgid=ECOLI&id=EG11229
219,ynfR,G0-16743,https://biocyc.org/gene?orgid=ECOLI&id=G0-16743
220,waaA,EG10520,https://biocyc.org/gene?orgid=ECOLI&id=EG10520
221,mutL,EG11281,https://biocyc.org/gene?orgid=ECOLI&id=EG11281
222,hypD,EG10486,https://biocyc.org/gene?orgid=ECOLI&id=EG10486
223,lpxC,EG10265,https://biocyc.org/gene?orgid=ECOLI&id=EG10265
224,yiaB,EG11267,https://biocyc.org/gene?orgid=ECOLI&id=EG11267
225,nei,G6383,https://biocyc.org/gene?orgid=ECOLI&id=G6383
226,frdB,EG10331,https://biocyc.org/gene?orgid=ECOLI&id=EG10331
227,yjeV,G0-10642,https://biocyc.org/gene?orgid=ECOLI&id=G0-10642
228,arnT,G7170,https://biocyc.org/gene?orgid=ECOLI&id=G7170
229,xseB,EG11098,https://biocyc.org/gene?orgid=ECOLI&id=EG11098
230,torZ,G7022,https://biocyc.org/gene?orgid=ECOLI&id=G7022
231,yahH,G0-10550,https://biocyc.org/gene?orgid=ECOLI&id=G0-10550
232,arnB,G7166,https://biocyc.org/gene?orgid=ECOLI&id=G7166
233,alkB,EG10037,https://biocyc.org/gene?orgid=ECOLI&id=EG10037
234,nuoE,EG12086,https://biocyc.org/gene?orgid=ECOLI&id=EG12086
235,yccJ,EG12703,https://biocyc.org/gene?orgid=ECOLI&id=EG12703
236,lpxK,EG11409,https://biocyc.org/gene?orgid=ECOLI&id=EG11409
237,ybaZ,G6251,https://biocyc.org/gene?orgid=ECOLI&id=G6251
238,nrfD,EG11947,https://biocyc.org/gene?orgid=ECOLI&id=EG11947
239,lpxA,EG10545,https://biocyc.org/gene?orgid=ECOLI&id=EG10545
240,yraJ,G7639,https://biocyc.org/gene?orgid=ECOLI&id=G7639
241,uvrA,EG11061,https://biocyc.org/gene?orgid=ECOLI&id=EG11061
242,hybB,EG11800,https://biocyc.org/gene?orgid=ECOLI&id=EG11800
243,yeiP,EG12035,https://biocyc.org/gene?orgid=ECOLI&id=EG12035
244,aqpZ,EG13270,https://biocyc.org/gene?orgid=ECOLI&id=EG13270
245,phr,EG10736,https://biocyc.org/gene?orgid=ECOLI&id=EG10736
246,hyfA,EG11150,https://biocyc.org/gene?orgid=ECOLI&id=EG11150
247,yibI,EG11765,https://biocyc.org/gene?orgid=ECOLI&id=EG11765
248,mscL,EG11180,https://biocyc.org/gene?orgid=ECOLI&id=EG11180
249,mfd,EG11619,https://biocyc.org/gene?orgid=ECOLI&id=EG11619
250,hyaF,EG10473,https://biocyc.org/gene?orgid=ECOLI&id=EG10473
251,yigZ,EG11484,https://biocyc.org/gene?orgid=ECOLI&id=EG11484
252,glpF,EG10396,https://biocyc.org/gene?orgid=ECOLI&id=EG10396
253,mutY,EG10627,https://biocyc.org/gene?orgid=ECOLI&id=EG10627
254,fdhE,EG10284,https://biocyc.org/gene?orgid=ECOLI&id=EG10284
255,ygiB,EG11164,https://biocyc.org/gene?orgid=ECOLI&id=EG11164
256,mscK,G6255,https://biocyc.org/gene?orgid=ECOLI&id=G6255
257,exoX,G7016,https://biocyc.org/gene?orgid=ECOLI&id=G7016
258,torS,G6514,https://biocyc.org/gene?orgid=ECOLI&id=G6514
259,yacC,EG11089,https://biocyc.org/gene?orgid=ECOLI&id=EG11089
260,kch,EG11606,https://biocyc.org/gene?orgid=ECOLI&id=EG11606
261,ligA,EG10534,https://biocyc.org/gene?orgid=ECOLI&id=EG10534
262,nuoA,EG12082,https://biocyc.org/gene?orgid=ECOLI&id=EG12082
263,yhcC,G7669,https://biocyc.org/gene?orgid=ECOLI&id=G7669
264,motA,EG10601,https://biocyc.org/gene?orgid=ECOLI&id=EG10601
265,dinI,G6558,https://biocyc.org/gene?orgid=ECOLI&id=G6558
266,pflC,EG11911,https://biocyc.org/gene?orgid=ECOLI&id=EG11911
267,yghE,G7536,https://biocyc.org/gene?orgid=ECOLI&id=G7536
268,clcA,EG12331,https://biocyc.org/gene?orgid=ECOLI&id=EG12331
269,dinD,EG11193,https://biocyc.org/gene?orgid=ECOLI&id=EG11193
270,nuoF,EG11774,https://biocyc.org/gene?orgid=ECOLI&id=EG11774
271,yqgE,G7524,https://biocyc.org/gene?orgid=ECOLI&id=G7524
272,mscS,EG11160,https://biocyc.org/gene?orgid=ECOLI&id=EG11160
273,kdpA,EG10513,https://biocyc.org/gene?orgid=ECOLI&id=EG10513
274,narX,EG10646,https://biocyc.org/gene?orgid=ECOLI&id=EG10646
275,csiE,G7329,https://biocyc.org/gene?orgid=ECOLI&id=G7329
276,mscM,G7840,https://biocyc.org/gene?orgid=ECOLI&id=G7840
277,mgtA,EG12525,https://biocyc.org/gene?orgid=ECOLI&id=EG12525
278,hyaC,EG10470,https://biocyc.org/gene?orgid=ECOLI&id=EG10470
279,yfbM,G7179,https://biocyc.org/gene?orgid=ECOLI&id=G7179
280,ybiO,G6417,https://biocyc.org/gene?orgid=ECOLI&id=G6417
281,kdpB,EG10514,https://biocyc.org/gene?orgid=ECOLI&id=EG10514
282,dmsA,EG10232,https://biocyc.org/gene?orgid=ECOLI&id=EG10232
283,nanC,G7921,https://biocyc.org/gene?orgid=ECOLI&id=G7921
284,kdpF,G0-10439,https://biocyc.org/gene?orgid=ECOLI&id=G0-10439
285,yecN,G7019,https://biocyc.org/gene?orgid=ECOLI&id=G7019
286,csgG,G6543,https://biocyc.org/gene?orgid=ECOLI&id=G6543
287,yajD,EG11097,https://biocyc.org/gene?orgid=ECOLI&id=EG11097
288,kdpC,EG10515,https://biocyc.org/gene?orgid=ECOLI&id=EG10515
289,ydhU,G6898,https://biocyc.org/gene?orgid=ECOLI&id=G6898
290,ynaI,G6666,https://biocyc.org/gene?orgid=ECOLI&id=G6666
291,ybeY,G6362,https://biocyc.org/gene?orgid=ECOLI&id=G6362
292,ydcK,G6741,https://biocyc.org/gene?orgid=ECOLI&id=G6741
293,yddY,G0-16740,https://biocyc.org/gene?orgid=ECOLI&id=G0-16740
294,ybdG,G6323,https://biocyc.org/gene?orgid=ECOLI&id=G6323
295,yciH,EG11128,https://biocyc.org/gene?orgid=ECOLI&id=EG11128
296,ymgD,G6611,https://biocyc.org/gene?orgid=ECOLI&id=G6611
297,ybjP,G6450,https://biocyc.org/gene?orgid=ECOLI&id=G6450
298,tyrB,EG11040,https://biocyc.org/gene?orgid=ECOLI&id=EG11040
299,rpsL,EG10911,https://biocyc.org/gene?orgid=ECOLI&id=EG10911
300,tff,G0-8895,https://biocyc.org/gene?orgid=ECOLI&id=G0-8895
301,yahE,G6184,https://biocyc.org/gene?orgid=ECOLI&id=G6184
302,ygbK,G7418,https://biocyc.org/gene?orgid=ECOLI&id=G7418
303,rpmD,EG10888,https://biocyc.org/gene?orgid=ECOLI&id=EG10888
304,pheA,EG10707,https://biocyc.org/gene?orgid=ECOLI&id=EG10707
305,ynaL,G0-8900,https://biocyc.org/gene?orgid=ECOLI&id=G0-8900
306,mmuP,G6135,https://biocyc.org/gene?orgid=ECOLI&id=G6135
307,rplK,EG10872,https://biocyc.org/gene?orgid=ECOLI&id=EG10872
308,aroG,EG10079,https://biocyc.org/gene?orgid=ECOLI&id=EG10079
309,yhgO,G0-17034,https://biocyc.org/gene?orgid=ECOLI&id=G0-17034
310,metH,EG10587,https://biocyc.org/gene?orgid=ECOLI&id=EG10587
311,arfA,G0-10465,https://biocyc.org/gene?orgid=ECOLI&id=G0-10465
312,pheL,EG11271,https://biocyc.org/gene?orgid=ECOLI&id=EG11271
313,ychT,G0-17017,https://biocyc.org/gene?orgid=ECOLI&id=G0-17017
314,mmuM,G6136,https://biocyc.org/gene?orgid=ECOLI&id=G6136
315,ettA,EG12343,https://biocyc.org/gene?orgid=ECOLI&id=EG12343
316,aroP,EG10084,https://biocyc.org/gene?orgid=ECOLI&id=EG10084
317,metC,EG10583,https://biocyc.org/gene?orgid=ECOLI&id=EG10583
318,yfdX,G7238,https://biocyc.org/gene?orgid=ECOLI&id=G7238
319,tufA,EG11036,https://biocyc.org/gene?orgid=ECOLI&id=EG11036
320,tyrA,EG11039,https://biocyc.org/gene?orgid=ECOLI&id=EG11039
321,bisC,EG10124,https://biocyc.org/gene?orgid=ECOLI&id=EG10124
322,rpsI,EG10908,https://biocyc.org/gene?orgid=ECOLI&id=EG10908
323,ykgV,G0-16724,https://biocyc.org/gene?orgid=ECOLI&id=G0-16724
324,metE,EG10584,https://biocyc.org/gene?orgid=ECOLI&id=EG10584
325,rplY,EG10885,https://biocyc.org/gene?orgid=ECOLI&id=EG10885
326,ytcA,G0-10608,https://biocyc.org/gene?orgid=ECOLI&id=G0-10608
327,metA,EG10581,https://biocyc.org/gene?orgid=ECOLI&id=EG10581
328,rplF,EG10869,https://biocyc.org/gene?orgid=ECOLI&id=EG10869
329,yjjZ,G0-10474,https://biocyc.org/gene?orgid=ECOLI&id=G0-10474
330,lepB,EG10530,https://biocyc.org/gene?orgid=ECOLI&id=EG10530
331,hiuH,G7058,https://biocyc.org/gene?orgid=ECOLI&id=G7058
332,rplU,EG50001,https://biocyc.org/gene?orgid=ECOLI&id=EG50001
333,yabQ,EG12611,https://biocyc.org/gene?orgid=ECOLI&id=EG12611
334,lspA,EG10548,https://biocyc.org/gene?orgid=ECOLI&id=EG10548
335,efp,EG12099,https://biocyc.org/gene?orgid=ECOLI&id=EG12099
336,bcsG,EG12265,https://biocyc.org/gene?orgid=ECOLI&id=EG12265
337,ffh,EG10300,https://biocyc.org/gene?orgid=ECOLI&id=EG10300
338,selA,EG10941,https://biocyc.org/gene?orgid=ECOLI&id=EG10941
339,yohJ,EG12023,https://biocyc.org/gene?orgid=ECOLI&id=EG12023
340,pppA,G7539,https://biocyc.org/gene?orgid=ECOLI&id=G7539
341,rpsF,EG10905,https://biocyc.org/gene?orgid=ECOLI&id=EG10905
342,cbrB,EG11726,https://biocyc.org/gene?orgid=ECOLI&id=EG11726
343,ftsY,EG10346,https://biocyc.org/gene?orgid=ECOLI&id=EG10346
344,dgcP,G6980,https://biocyc.org/gene?orgid=ECOLI&id=G6980
345,rplV,EG10882,https://biocyc.org/gene?orgid=ECOLI&id=EG10882
346,yjjY,G7954,https://biocyc.org/gene?orgid=ECOLI&id=G7954
347,napD,EG12143,https://biocyc.org/gene?orgid=ECOLI&id=EG12143
348,rplC,EG10866,https://biocyc.org/gene?orgid=ECOLI&id=EG10866
349,yijD,EG11395,https://biocyc.org/gene?orgid=ECOLI&id=EG11395
